hs6,product_label,years_present,avg_RSCA
900930,Thermo-copying apparatus (excluding thermo-printers),3,1.0
852312,"Magnetic tapes, unrecorded, of a width > 4 mm but <= 6,5 mm",3,1.0
30322,Frozen Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),3,1.0
293146,"2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide",3,1.0
290490,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated ...",7,1.0
950330,Construction sets and constructional toys (excluding scale model assembly kits),6,1.0
293610,"Provitamins, unmixed",4,1.0
441039,"Particle board and similar board, of wood, whether or not agglomerated with resins or other ...",4,1.0
620910,Babies' garments and clothing accessories of wool or fine animal hair (excluding knitted or ...,7,1.0
701321,Drinking glasses of lead crystal,6,1.0
291900,"Phosphoric esters and their salts, incl. lactophosphates; their halogenated, sulphonated, nitrated ...",3,1.0
140410,"Raw vegetable materials primarily for dyeing or tanning, n.e.s.",3,1.0
482319,Gummed or adhesive paper in strips or rolls of a width <= 36 cm (excluding self-adhesive),6,1.0
30372,Frozen haddock (Melanogrammus aeglefinus),3,1.0
441199,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",6,1.0
852510,"Transmission apparatus for radio-telephony, radio-telegraphy, radio-broadcasting or television",9,1.0
900991,Automatic document feeders for photocopying and thermo-copying apparatus,6,1.0
90830,Cardamoms,10,1.0
50900,Natural sponges of animal origin,6,1.0
950350,Toy musical instruments and apparatus,6,1.0
530490,"Sisal and other textile fibres of the genus Agave, processed but not spun; tow and waste of ...",4,1.0
30410,"Fresh or chilled fillets and other fish meat, whether or not minced",10,1.0
200940,"Pineapple juice, unfermented, whether or not containing added sugar or other sweetening matter ...",3,1.0
900999,"Parts and accessories for photocopying and thermo-copying apparatus, n.e.s. (excluding automatic ...",7,1.0
630639,"Sails for boats, sailboards or landcraft, of textile materials (excluding synthetic fibres)",8,1.0
530521,"Abaca ""Manila hemp or Musa textilis Nee"", raw",5,1.0
300340,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...",5,1.0
610319,"Men's or boys' suits of textile materials, knitted or crocheted (excluding of wool or fine ...",7,1.0
290432,Ammonium perfluorooctane sulphonate,8,1.0
551433,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",3,1.0
30212,"Fresh or chilled Pacific salmon Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, ...",8,1.0
30352,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",8,1.0
852313,"Magnetic tapes, unrecorded, of a width > 6,5 mm",3,1.0
880730,"Parts of aeroplanes, helicopters or unmanned aircraft, n.e.s. (excl. those for gliders)",5,1.0
681250,"Clothing, clothing accessories, footwear and headgear of asbestos or of mixtures with a basis ...",7,1.0
852032,"Magnetic tape recorders incorporating sound reproducing apparatus, digital audio type (excluding ...",5,1.0
441021,"Oriented strand board and waferboard, of wood, unworked or not further worked than sanded",12,1.0
20732,"Fresh or chilled ducks, geese and guinea fowls of the species domesticus, not cut into pieces",3,1.0
480230,"Carbonising base paper, uncoated, in rolls or in square or rectangular sheets, of any size",3,1.0
960839,"Fountain pens, stylograph pens and other pens (excluding indian ink drawing pens)",10,1.0
852320,"Magnetic discs, unrecorded",6,1.0
930529,"Parts and accessories for sporting, hunting and target-shooting rifles of heading 9303, n.e.s. ...",5,1.0
20735,"Fresh or chilled cuts and edible offal of ducks, geese or guinea fowls of the species domesticus ...",5,1.0
560420,"High tenacity yarn of polyesters, nylon, other polyamides or viscose, impregnated or coated ...",5,1.0
30710,"Oysters, live, fresh, chilled, frozen, dried, salted or in brine",7,1.0
852460,Cards incorporating a recorded magnetic stripe,5,1.0
30421,Frozen fillets of swordfish (Xiphias gladius),5,1.0
910112,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",3,1.0
551592,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres, mixed principally ...",4,1.0
382740,"Mixtures containing methyl bromide ""bromomethane"" or bromochloromethane",3,1.0
30361,Frozen swordfish (Xiphias gladius),10,1.0
611591,"Full-length or knee-length stockings, socks and other hosiery, incl. stockings for varicose ...",7,1.0
900921,"Photocopying apparatus, incorporating an optical system (excluding electrostatic)",5,1.0
841822,"Household electrical refrigerators, absorption-type",5,1.0
330123,"Oils of lavender or of lavandin, whether or not terpeneless, incl. concretes and absolutes",4,1.0
121110,"Liquorice roots, fresh or dried, whether or not cut, crushed or powdered",6,1.0
741819,"Table, kitchen or other household articles, parts thereof, of copper (excluding pot scourers ...",6,1.0
970199,"Collages and similar decorative plaques (excl. over 100 years old, and mosaics)",3,1.0
291421,Camphor,9,1.0
290345,"1,1,1,2-Tetrafluoroethane ""HFC-134a"" and 1,1,2,2-tetrafluoroethane ""HFC-134""",7,1.0
20900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ...",4,1.0
441292,"Laminated wood with at least one outer ply of non-coniferous wood (excl. of bamboo, with an ...",7,1.0
610311,"Men's or boys' suits of wool or fine animal hair, knitted or crocheted (excluding track suits, ...",4,1.0
281123,Sulphur dioxide,4,1.0
852090,Sound recording equipment whether or not incorporating a sound reproducing device (excluding ...,5,1.0
20734,Fresh or chilled edible fatty livers of ducks or geese of the species domesticus,6,1.0
10600,"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, ...",8,1.0
850930,"Domestic kitchen waste disposers, with self-contained electric motor",3,1.0
30240,"Fresh or chilled herrings (Clupea harengus, clupea pallasii)",6,1.0
20736,"Frozen cuts and edible offal of ducks, geese or guinea fowls of the species domesticus",9,1.0
846911,Word-processing machines (excluding automatic data processing machines and units thereof of ...,4,1.0
741811,"Pot scourers and scouring or polishing pads, gloves and the like, of copper (excluding sanitary ...",4,1.0
731930,"Pins of iron or steel, n.e.s.",8,1.0
60410,"Mosses and lichens for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated ...",4,1.0
731910,"Sewing, darning or embroidery needles, for use in the hand, of iron or steel",5,1.0
10593,"Live fowls of the species Gallus domesticus, weighing > 2 kg",5,1.0
441111,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",4,1.0
870860,"Non-driving axles and parts thereof for tractors, motor vehicles for the transport of ten or ...",5,1.0
520853,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m², in three-thread ...",5,1.0
630691,"Camping goods of cotton (excluding tents, awnings and sunblinds, sails, pneumatic mattresses, ...",4,1.0
90610,Cinnamon and cinnamon-tree flowers (excluding crushed and ground),3,1.0
650300,"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 6501, ...",7,1.0
460120,"Mats, matting and screens of vegetable plaiting materials, flat-woven or bound together in ...",7,1.0
630621,Tents of cotton (excluding fly sheets),5,1.0
293100,"Separate chemically defined organo-inorganic compounds, n.e.s. (excluding inorganic or organic ...",8,1.0
401013,"Conveyor belts or belting, of vulcanised rubber, reinforced only with plastics (other than ...",5,1.0
820580,Anvils; portable forges; hand-operated or pedal-operated grinding wheels with frameworks,10,1.0
290436,Perfluorooctane sulphonyl fluoride,7,1.0
30411,"Fresh or chilled fillets and other meat whether or not minced"" of swordfish ""Xiphias gladius""",7,1.0
701331,"Glassware of lead crystal, of a kind used for table or kitchen purposes (excluding articles ...",6,1.0
850890,"Parts of electro-mechanical tools, for working in the hand, with self-contained electric motor, ...",3,1.0
730660,"Tubes, pipes and hollow profiles, welded, having a non-circular cross-section, of iron or steel ...",8,1.0
91040,Thyme and bay leaves,5,1.0
600533,"Warp knit fabrics of synthetic fibres, of yarns of different colours ""incl. those made on galloon ...",7,1.0
293500,Sulphonamides,6,1.0
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",3,1.0
900610,Cameras of a kind used for preparing printing plates or cylinders,5,1.0
611720,"Ties, bow ties and cravats, knitted or crocheted",7,1.0
852431,"Discs, recorded, for laser reading systems, for reproducing phenomena other than sound or image",3,1.0
701951,"Woven fabrics, incl. narrow fabrics, of glass, of a width of <= 30 cm (excluding rovings)",3,1.0
20733,"Frozen ducks, geese and guinea fowls of the species domesticus, not cut into pieces",6,1.0
851939,"Turntables ""record-decks"", without automatic record-changing mechanism",4,1.0
290330,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons",3,1.0
262100,"Slag and ash, incl. seaweed ash ""kelp"" (excluding slag, incl. granulated, from the manufacture ...",4,1.0
851730,Telephonic or telegraphic switching apparatus,10,1.0
852822,"Video monitors, black and white or other monochrome",3,1.0
285200,"Compounds, inorganic or organic, of mercury (excluding amalgams)",7,1.0
844340,Gravure printing machinery,3,1.0
270760,Phenols containing > 50% of phenols (excluding chemically defined),3,1.0
30373,Frozen coalfish (Pollachius virens),3,1.0
621310,"Handkerchiefs of silk or silk waste, of which no side exceeds 60 cm (excluding knitted or ...",3,1.0
282736,Zinc chloride,3,1.0
410790,"Leather of antelopes, deer, elks, elephants and other animals, incl. sea animals, dehaired, ...",3,1.0
420690,"Articles of gut, goldbeater's skin, bladders or tendons (excluding silkworm gut, sterile catgut, ...",3,1.0
90820,Mace,11,1.0
900830,"Image projectors (excluding slide projectors and microfilm, microfiche or other microform readers)",8,1.0
800500,"Tin foil of a thickness ""without any backing"" <= 0,2 mm, whether or not printed or backed with ...",3,1.0
732113,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",6,1.0
850810,"Drills of all kinds, for working in the hand, with self-contained electric motor",4,1.0
480830,"Kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a width ...",10,1.0
91050,Curry,5,1.0
320643,"Pigments and preparations based on hexacyanoferrates ""Ferrocyanides and ferricyanides"", of ...",3,1.0
570259,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...",3,1.0
611520,"Women's full-length or knee-length hosiery, knitted or crocheted, measuring per single yarn ...",7,1.0
741700,"Cooking or heating apparatus of a kind used for domestic purposes, non-electric, and parts ...",3,1.0
722910,"Wire of high-speed steel, in coils (excluding bars and rods)",3,1.0
630311,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of cotton, knitted or ...",5,1.0
852410,Gramophone records,3,1.0
481630,"Duplicator stencils of paper, whether or not in boxes",3,1.0
10110,Pure-bred breeding horses and asses,6,1.0
854250,"Electronic microassemblies made from discrete, active or both active and passive components, ...",3,1.0
580125,"Cut warp pile fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, ...",3,1.0
701332,Glassware for table or kitchen purposes of glass having a linear coefficient of expansion <= ...,3,1.0
731920,Safety pins of iron or steel,5,1.0
681190,"Articles of asbestos-cement, cellulose fibre-cement or the like (excluding tubes, pipes and ...",5,1.0
910911,"Clock movements of alarm clocks, complete and assembled, electrically operated, for alarm clocks ...",3,1.0
410130,"Raw hides and skins of bovine animals, dry-salted, limed, pickled or otherwise preserved, whether ...",3,1.0
852440,"Magnetic tapes, recorded, for reproducing phenomena other than sound or image",4,1.0
851910,Coin-operated or disc-operated record-players,3,1.0
640691,"Parts of footwear, of wood",4,1.0
480820,"Sack kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a ...",5,1.0
851929,Record players with loudspeaker (excluding coin-operated or disc-operated record-players),3,1.0
780500,"Lead tubes, pipes and tube or pipe fittings ""e.g., couplings, elbows, sleeves""",4,1.0
820120,"Forks, incl. pitchforks, with working parts of base metal",6,1.0
480790,"Composite paper and paperboard, neither surface-coated nor impregnated, whether or not internally ...",5,1.0
400950,"Tubes, pipes and hoses, of vulcanized rubber other than hard rubber, with fittings",4,1.0
741420,"Woven copper wire cloth, incl. endless (excluding woven products of metal fibres of a kind ...",4,1.0
851940,Transcribing machines,3,1.0
401210,Retreaded tyres of rubber,5,1.0
844329,Letterpress printing machinery (excluding flexographic printing and reel fed machinery),4,1.0
846912,"Typewriters, automatic (excluding word-processing machines, automatic data processing machines ...",6,1.0
901049,Apparatus for the projection or drawing of circuit patterns on sensitised semiconductor materials ...,4,1.0
30625,"Norway lobsters ""Nephrops norvegicus"", even smoked, whether in shell or not, live, fresh, chilled, ...",4,1.0
741490,"Grill and netting, of copper wire; expanded metal, of copper (excluding grill and netting made ...",4,1.0
283920,"Silicates of potassium, incl. commercial silicates",3,1.0
854230,"Electronic integrated circuits, monolithic, analog or analog/digital",3,1.0
10592,"Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg",4,1.0
441223,Veneered panels and similar laminated wood with at least one outer ply of non-coniferous wood ...,3,1.0
852732,"Radio-broadcast receivers, for mains operation only, incl. apparatus capable of also receiving ...",3,1.0
851931,"Turntables ""record-decks"", with automatic record-changing mechanism",3,1.0
681230,"Cords and string, whether or not plaited, of asbestos or of mixtures with a basis of asbestos ...",3,1.0
293220,Lactones,5,1.0
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",12,1.0
283711,Sodium cyanide,12,1.0
732591,"Grinding balls and similar articles for mills, cast (excl. such articles of non-malleable cast ...",12,1.0
284700,"Hydrogen peroxide, whether or not solidified with urea",12,1.0
284410,"Natural uranium and its compounds; alloys, dispersions, incl. cermets, ceramic products and ...",12,1.0
30368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""",12,1.0
80280,"Fresh or dried areca nuts, whether or not shelled or peeled",12,1.0
440398,"Eucalyptus ""Eucalyptus spp."" in the rough, whether or not stripped of bark or sapwood, or roughly ...",7,1.0
260111,Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites),12,1.0
440396,"Birch ""Betula spp."" in the rough, of which no cross-sectional dimension is =>15 cm, whether ...",8,1.0
852412,"Flat panel display modules, whether or not incorporating touch-sensitive screens, without drivers ...",3,1.0
290372,Dichlorotrifluoroethanes,12,1.0
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""",12,1.0
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excl. industrial diamonds)",12,1.0
30252,"Fresh or chilled haddock ""Melanogrammus aeglefinus""",12,1.0
260112,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),12,1.0
283110,Dithionite and sulfoxylate of sodium,12,1.0
282732,Aluminium chloride,12,1.0
291020,"Methyloxirane ""propylene oxide""",12,1.0
284510,"Heavy water ""deuterium oxide"" [Euratom]",12,1.0
81060,Fresh durians,12,1.0
848630,Machines and apparatus for the manufacture of flat panel displays,12,1.0
261210,Uranium ores and concentrates,12,1.0
292610,Acrylonitrile,12,1.0
292244,"Tilidine ""INN"" and its salts",12,1.0
151630,"Microbial fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",3,1.0
30571,"Shark fins, smoked, dried, salted or in brine",12,1.0
252490,Asbestos (excl. crocidolite and products made from asbestos),12,1.0
30364,"Frozen haddock ""Melanogrammus aeglefinus""",12,1.0
722710,"Bars and rods of high-speed steel, hot-rolled, in irregularly wound coils",11,1.0
281410,Anhydrous ammonia,12,1.0
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""",12,1.0
230660,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",12,1.0
290270,Cumene,11,1.0
291634,Phenylacetic acid and its salts,12,1.0
230610,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",12,1.0
270210,"Lignite, whether or not pulverised, non-agglomerated (excl. jet)",12,1.0
290314,Carbon tetrachloride,7,1.0
400270,"Ethylene-propylene diene rubber ""EPDM"", non-conjugated, in primary forms or in plates, sheets ...",12,1.0
840130,"Fuel elements ""cartridges"", non-irradiated, in casing with handling fixtures, for nuclear reactors ...",12,1.0
810991,"Articles of zirconium, containing < 1 part hafnium to 500 parts zirconium by weight, n.e.s.",3,1.0
550330,"Acrylic or modacrylic staple fibres, not carded, combed or otherwise processed for spinning",12,1.0
30783,"Frozen, even in shell, abalone ""Haliotis spp.""",8,1.0
293080,"Aldicarb (ISO), Captafol (ISO) and methamidophos (ISO)",8,1.0
260300,Copper ores and concentrates,12,1.0
30819,"Smoked, dried, salted or in brine, sea cucumbers ""Stichopus japonicus, Holothuroidea""",12,1.0
30392,Frozen shark fins,8,1.0
230500,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",12,1.0
681293,"Compressed asbestos fibre jointing, in sheets or rolls (excluding of crocidolite asbestos)",12,1.0
852492,"Flat panel display modules, whether or not incorporating touch-sensitive screens, with drivers ...",3,1.0
283327,Sulphate of barium,12,1.0
240311,Water-pipe tobacco (excl. tobacco-free. See subheading note 1.),12,1.0
120730,Castor oil seeds,12,1.0
260500,Cobalt ores and concentrates,8,1.0
261690,Precious-metal ores and concentrates (excl. silver ores and oncentrates),12,1.0
10310,Pure-bred breeding swine,12,1.0
390190,"Polymers of ethylene, in primary forms (excl. polyethylene and ethylene-vinyl acetate copolymers)",7,1.0
290260,Ethylbenzene,12,1.0
10391,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",12,1.0
440220,"Wood charcoal of shell or nut, whether or not agglomerated (excl. of bamboo, used as a medicament, ...",3,1.0
370241,"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, ...",12,1.0
290315,"Ethylene dichloride ""ISO"" ""1,2 dichloroethane""",11,1.0
30367,"Frozen Alaska pollack ""Theragra chalcogramma""",12,1.0
260400,Nickel ores and concentrates,12,1.0
30195,"Live southern bluefin tunas ""Thunnus maccoyii""",10,1.0
290321,"Vinyl chloride ""chloroethylene""",12,1.0
848510,Machines for additive manufacturing by metal deposit,8,1.0
30332,"Frozen plaice ""Pleuronectes platessa""",12,1.0
470200,"Chemical wood pulp, dissolving grades",12,1.0
291212,"Ethanal ""acetaldehyde""",12,1.0
440612,"Railway or tramway sleepers ""cross-ties"" of wood, not impregnated, non-coniferous",8,1.0
281390,Sulphides of non-metals (excl. carbon disulphide); commercial phosphorus trisulphide,12,1.0
810921,"Unwrought zirconium and zirconium powders, containing < 1 part hafnium to 500 parts zirconium ...",3,1.0
750120,Nickel oxide sinters and other intermediate products of nickel metallurgy (excl. nickel mattes),12,1.0
10613,Live camels and other camelids [Camelidae],12,1.0
290241,o-Xylene,11,1.0
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ...",12,1.0
440611,"Railway or tramway sleepers ""cross-ties"" of wood, not impregnated, coniferous",8,1.0
20860,"Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]",12,1.0
370242,"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, ...",12,1.0
160563,"Jellyfish, prepared or preserved (excl. smoked)",11,1.0
30363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",12,1.0
401194,"Pneumatic tyres, new, of rubber, of a kind used on construction or industrial handling vehicles ...",12,1.0
30365,"Frozen coalfish ""Pollachius virens""",12,1.0
530121,"Flax, broken or scutched",12,1.0
30324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",12,1.0
120300,Copra,12,1.0
710421,"Diamonds, synthetic or reconstructed, unworked or simply sawn or roughly shaped",3,1.0
290891,"Dinoseb ""ISO"" and its salts",12,1.0
110814,Manioc starch,12,1.0
750110,Nickel mattes,12,1.0
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus ...",12,1.0
30552,"Dried tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",8,1.0
293712,"Insulin and its salts, used primarily as hormones",12,1.0
240319,"Smoking tobacco, whether or not containing tobacco substitutes in any proportion (excl. water-pipe ...",12,1.0
391211,"Non-plasticised cellulose acetates, in primary forms",12,1.0
160417,"Prepared or preserved eels, whole or in pieces (excl. minced)",12,1.0
30712,"Oysters, even in shell, frozen",9,1.0
71450,"Yautia ""Xanthosoma spp."", fresh, chilled, frozen or dried, whether or not sliced or in the ...",12,1.0
30473,"Frozen fillets of coalfish ""Pollachius virens""",12,1.0
160561,"Sea cucumbers, prepared or preserved (excl. smoked)",11,1.0
121140,"Poppy straw, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered",11,1.0
251010,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",12,1.0
30624,"Crabs, even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, ...",12,1.0
860630,Railway or tramway self-discharging goods vans and wagons (excl. tank wagons and the like and ...,11,1.0
860390,"Self-propelled railway or tramway coaches, vans and trucks (excl. those powered from an external ...",7,1.0
30346,"Frozen Southern bluefin tunas ""Thunnus maccoyii""",12,1.0
284540,Helium-3,3,1.0
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",12,1.0
30344,"Frozen bigeye tunas ""Thunnus obesus""",12,1.0
30246,"Fresh or chilled cobia ""Rachycentron canadum""",12,1.0
440341,"Dark red meranti, light red meranti and meranti bakau wood in the rough, whether or not stripped ...",8,1.0
890130,Refrigerated vessels (excl. tankers),12,1.0
290723,"4,4'-Isopropylidenediphenol ""bisphenol A, diphenylolpropane"" and its salts",12,1.0
10290,Live bovine animals (excl. cattle and buffalo),12,1.0
320418,Synthetic carotenoid colouring matters and preparations based thereon of a kind used to dye ...,3,1.0
20751,"Fresh or chilled domestic geese, not cut in pieces",12,1.0
382471,"Mixtures containing chlorofluorocarbons ""CFCs"", whether or not containing hydrochlorofluorocarbons ...",10,1.0
293711,"Somatropin, its derivatives and structural analogues, used primarily as hormones",12,1.0
30391,"Frozen fish livers, roes and milt",8,1.0
30326,"Frozen eels ""Anguilla spp.""",12,1.0
282911,Chlorate of sodium,7,1.0
30691,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether ...",5,1.0
30383,"Frozen toothfish ""Dissostichus spp.""",12,1.0
293212,"2-Furaldehyde ""furfuraldehyde""",12,1.0
30222,"Fresh or chilled plaice ""Pleuronectes platessa""",12,1.0
251730,Tarred macadam,12,1.0
282520,Lithium oxide and hydroxide,12,1.0
292141,Aniline and its salts (excl. inorganic or organic compounds of mercury),12,1.0
30621,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", even smoked, ...",12,1.0
271410,Bituminous or oil-shale and tar sands,10,1.0
290811,"Pentachlorophenol ""ISO""",11,1.0
292640,alpha-Phenylacetoacetonitrile,8,1.0
382561,"Wastes from chemical or allied industries, mainly containing organic constituents (excl. anti-freeze ...",6,1.0
30271,"Fresh or chilled tilapia ""Oreochromis spp.""",12,1.0
400251,"Latex of acrylonitrile-butadiene rubber ""NBR""",8,1.0
510540,"Coarse animal hair, carded or combed",4,1.0
180200,"Cocoa shells, husks, skins and other cocoa waste",12,1.0
291891,"2,4,5-T ""ISO"" ""2,4,5-trichlorophenoxyacetic acid"", its salts and esters",11,1.0
291613,Methacrylic acid and its salts,12,1.0
270119,"Coal, whether or not pulverised, non-agglomerated (excl. anthracite and bituminous coal)",12,1.0
280480,Arsenic,12,1.0
880629,"Unmanned aircraft, for remote-controlled flight only, with maximum take-off weight > 150 kg ...",3,1.0
470610,Pulp of cotton linters,11,1.0
290348,"1,1,1,3,3-Pentafluorobutane ""HFC-365mfc"" and 1,1,1,2,2,3,4,5,5,5-decafluoropentane ""HFC-43-10mee""",3,1.0
811269,"Cadmium and articles of cadmium, n.e.s.",3,1.0
30382,"Frozen rays and skates ""Rajidae""",12,1.0
292011,"Parathion ""ISO"" and parathion-methyl ""ISO"" ""methyl-parathion""",12,1.0
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",12,1.0
370252,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...",10,1.0
30486,"Frozen fillets of herring ""Clupea harengus, Clupea pallasii""",12,1.0
382482,"Mixtures and preparations containing polychlorinated biphenyls ""PCBs"", polychlorinated terphenyls ...",10,1.0
151311,Crude coconut oil,11,1.0
270810,Pitch obtained from coal tar or from other mineral tars,12,1.0
480452,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",12,1.0
292221,Aminohydroxynaphthalenesulphonic acids and their salts,12,1.0
292145,"1-Naphthylamine ""alpha-naphthylamine"", 2-naphthylamine ""beta-naphthylamine"" and their derivatives; ...",12,1.0
30462,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",12,1.0
290516,"Octanol ""octyl alcohol"" and isomers thereof",12,1.0
10231,Pure-bred buffalo for breeding,11,1.0
291010,"Oxirane ""ethylene oxide""",12,1.0
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",12,1.0
30256,"Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis""",12,1.0
30633,"Crabs, whether in shell or not, live, fresh or chilled",10,1.0
401161,"Pneumatic tyres, new, of rubber, having a ""herring-bone"" or similar tread, of a kind used on ...",9,1.0
252530,Mica waste,12,1.0
270220,Agglomerated lignite (excl. jet),12,1.0
71360,"Dried, shelled pigeon peas ""Cajanus cajan"", whether or not skinned or split",12,1.0
30492,"Frozen meat, whether or not minced, of toothfish ""Dissostichus spp."" (excl. fillets)",12,1.0
270710,"Benzol ""benzene"" containing > 50% of benzene (excl. chemically defined)",11,1.0
30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",12,1.0
281211,"Carbonyl dichloride ""phosgene""",7,1.0
80131,"Fresh or dried cashew nuts, in shell",12,1.0
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...",11,1.0
284442,"Actinium-225, actinium-227, californium-253, curium-240, curium-241, curium-242, curium-243, ...",3,1.0
281640,"Oxides, hydroxides and peroxides, of strontium or barium",12,1.0
151491,"High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"" and ...",12,1.0
20752,"Frozen domestic geese, not cut in pieces",12,1.0
900120,Sheets and plates of polarising material,12,1.0
30475,"Frozen fillets of Alaska pollack ""Theragra chalcogramma""",12,1.0
50610,Ossein and bones treated with acid,12,1.0
280130,Fluorine; bromine,12,1.0
90619,"Cinnamon and cinnamon-tree flowers (excl. cinnamon ""Cinnamomum zeylanicum Blume"" and crushed ...",12,1.0
160530,"Lobster, prepared or preserved (excl. smoked)",12,1.0
291461,Anthraquinone,11,1.0
30390,Frozen fish livers and roes,9,1.0
30356,"Frozen cobia ""Rachycentron canadum""",12,1.0
852491,"Flat panel display modules, whether or not incorporating touch-sensitive screens, with drivers ...",7,1.0
810720,Unwrought cadmium; cadmium powders,10,1.0
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",12,1.0
261610,Silver ores and concentrates,12,1.0
292512,"Glutethimide ""INN""",12,1.0
260900,Tin ores and concentrates,12,1.0
262091,"Slag, ash and residues, containing antimony, beryllium, cadmium, chromium or their mixtures ...",12,1.0
261400,Titanium ores and concentrates,12,1.0
440713,"S-P-F (spruce ""Picea spp."", pine ""Pinus spp."" and fir ""Abies spp."") sawn or chipped lengthwise, ...",3,1.0
291540,"Mono- di- or trichloroacetic acids, their salts and esters",12,1.0
160551,"Oysters, prepared or preserved (excl. smoked)",12,1.0
401193,"Pneumatic tyres, new, of rubber, of a kind used on construction or industrial handling vehicles ...",9,1.0
290243,p-Xylene,12,1.0
30311,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka""",12,1.0
30461,"Frozen fillets of tilapia ""Oreochromis spp.""",12,1.0
701120,"Glass envelopes, incl. bulbs and tubes, open, and glass parts thereof, without fittings, for ...",11,1.0
30345,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",11,1.0
520514,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...",12,1.0
230330,Brewing or distilling dregs and waste,12,1.0
160552,"Scallops, incl. queen scallops, prepared or preserved (excl. smoked)",12,1.0
