hs6,product_label,years_present,avg_RSCA
690790,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",8,1.0
940600,"Prefabricated buildings, whether or not complete or already assembled",8,1.0
854914,"Primary cells, primary batteries and electric accumulators: spent goods and waste and scrap, ...",3,1.0
30269,"Fresh or chilled freshwater and saltwater fish (excluding salmonidae, flat fish, tunas, skipjack ...",12,1.0
854260,Hybrid integrated circuits,5,1.0
30784,"Frozen, even in shell, stromboid conchs ""Strombus spp.""",8,1.0
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",3,1.0
880390,"Parts of aircraft and spacecraft, n.e.s.",3,1.0
360300,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators ...,3,1.0
970300,"Original sculptures and statuary, in any material",3,1.0
283020,Zinc sulphide,3,1.0
284520,Boron enriched in boron-10 and its compounds,3,1.0
442190,"Other articles of wood, n.e.s.",8,1.0
293372,"Clobazam ""INN"" and methyprylon ""INN""",12,1.0
620219,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile ...",3,1.0
940540,"Electric lamps and lighting fittings, n.e.s.",3,1.0
290362,"Ethylene dibromide ""ISO"" ""1,2-dibromoethane""",3,1.0
811241,"Unwrought rhenium and rhenium waste, scrap and powders (excl. ashes and residues)",3,1.0
30379,"Frozen freshwater and saltwater fish (excluding salmonidae, flat fish, tunas, skipjack or stripe-bellied ...",12,1.0
846210,"Forging or die-stamping machines, incl. presses, and hammers",3,1.0
300220,Vaccines for human medicine,3,1.0
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",3,1.0
470411,"Unbleached coniferous chemical wood pulp, sulphite (excl. dissolving grades)",12,1.0
261220,Thorium ores and concentrates,12,1.0
292243,Anthranilic acid and its salts,11,1.0
890392,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",3,1.0
530511,"Coconut ""coir"" fibres, raw",5,1.0
240310,"Smoking tobacco, whether or not containing tobacco substitutes in any proportion",11,1.0
810931,"Zirconium waste and scrap, containing < 1 part hafnium to 500 parts zirconium by weight (excl. ...",3,1.0
30429,Frozen fish fillets (excluding swordfish and toothfish),12,1.0
970521,"Human specimens and parts thereof, as collections or collectors’ pieces of anatomical interest",3,1.0
284030,"Peroxoborates ""perborates""",12,1.0
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",6,1.0
280620,Chlorosulphuric acid,12,1.0
854810,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ...",3,1.0
870831,"Mounted brake linings for tractors, motor vehicles for the transport of ten or more persons, ...",5,1.0
940190,"Parts of seats, n.e.s.",3,1.0
811249,"Articles of rhenium, n.e.s.",3,1.0
292024,Triethyl phosphite,8,1.0
902740,Exposure meters,5,1.0
681390,"Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers ...",5,1.0
880610,"Unmanned aircraft, designed for the carriage of passengers",3,1.0
620199,"Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles ...",3,1.0
340219,"Organic surface-active agents, whether or not put up for retail sale (excluding anionic, cationic ...",3,1.0
292021,Dimethyl phosphite,8,1.0
390760,"Poly""ethylene terephthalate"", in primary forms",8,1.0
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,3,1.0
851722,Teleprinters for line telegraphy,5,1.0
293944,Norephedrine and its salts,9,1.0
293334,"Fentanyls and their derivatives, with nitrogen hetero-atom[s] only, containing an unfused pyridine ...",3,1.0
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals ...",12,1.0
940560,"Illuminated signs, illuminated nameplates and the like, with a permanently fixed light source",3,1.0
