hs6,partner_count,partners
030760,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030799,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030821,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040210,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040221,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040229,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040291,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040299,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040310,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040520,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040590,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040711,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
040790,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
041000,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
051191,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
060110,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
060311,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
060313,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
060314,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
070110,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
070700,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
